,Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,Popularity,MSRP
97,Nissan,25,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,26,2009,3520
98,Nissan,24,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,26,2009,3910
99,Nissan,24,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,26,2009,4182
100,Nissan,24,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,26,2009,4107
101,Nissan,23,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,25,2009,4299
102,Nissan,23,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,25,2009,4693
103,Nissan,23,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,25,2009,4107
104,Volvo,30,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,wagon,26,870,2000
105,Volvo,30,regular,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,wagon,23,870,2000
106,Volvo,30,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,sedan,26,870,2000
107,Volvo,29,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,sedan,26,870,2000
108,Volvo,29,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,wagon,26,870,2000
109,Volvo,29,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,sedan,26,870,2000
110,Volvo,28,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,sedan,26,870,2000
111,Volvo,28,regular,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,wagon,25,870,2000
112,Mazda,9,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,16020
113,Mazda,9,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,14530
114,Mazda,9,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,16860
115,Mazda,9,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,15370
116,Mazda,8,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,17050
117,Mazda,8,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,15560
118,Mazda,8,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,16210
119,Mazda,8,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,14720
120,Mazda,7,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,17050
121,Mazda,7,regular,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Compact,hatchback,34,586,15560
122,Mazda,7,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,16210
123,Mazda,7,regular,100.0,4.0,MANUAL,front wheel drive,4.0,Other,Compact,hatchback,35,586,14720
124,BMW,6,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,30,3916,47250
125,BMW,6,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,33,3916,41850
126,BMW,6,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,33,3916,41850
127,BMW,5,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,34,3916,43000
128,BMW,5,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,30,3916,49200
129,BMW,4,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,30,3916,49650
130,BMW,4,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,hatchback,33,3916,43950
131,BMW,6,premium,241.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,33,3916,41950
132,BMW,6,premium,335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,33,3916,50150
133,BMW,6,premium,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,35,3916,37500
134,BMW,6,premium,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,32,3916,43750
135,BMW,6,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,45,3916,39000
136,BMW,6,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,33,3916,39500
137,BMW,6,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,33,3916,39500
138,BMW,6,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,35,3916,34950
139,BMW,6,premium,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,30,3916,45750
140,BMW,6,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,43,3916,43450
141,BMW,6,premium,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,35,3916,37500
142,BMW,6,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,43,3916,41000
143,BMW,6,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,36,3916,32950
144,BMW,5,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,40,3916,41850
145,BMW,5,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,33,3916,47800
146,BMW,5,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,42,3916,39850
147,BMW,5,premium,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,34,3916,38350
148,BMW,5,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,34,3916,40350
149,BMW,5,premium,240.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,sedan,34,3916,38350
150,BMW,5,premium,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,34,3916,42650
151,BMW,5,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,36,3916,33150
152,BMW,5,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,35,3916,35150
153,BMW,5,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,40,3916,44150
154,BMW,5,premium,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,33,3916,45800
155,BMW,4,premium,248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,34,3916,38750
156,BMW,4,premium,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,34,3916,35450
157,BMW,4,premium,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,35,3916,33450
158,BMW,4,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,33,3916,40750
159,BMW,4,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,40,3916,42250
160,BMW,4,premium,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,33,3916,42950
161,BMW,4,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,42,3916,40250
162,BMW,4,premium,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,31,3916,49900
163,BMW,4,premium,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,32,3916,47900
164,BMW,4,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,40,3916,44450
165,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,19,617,2232
166,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,wagon,20,617,2000
167,Mercedes-Benz,30,regular,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,22,617,2000
168,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,20,617,2105
169,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,18,617,2199
170,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,22,617,2000
171,Mercedes-Benz,30,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,19,617,2124
172,Mercedes-Benz,30,regular,228.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,21,617,3552
173,Mercedes-Benz,30,regular,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,coupe,22,617,2179
174,Mercedes-Benz,30,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,30,617,2000
175,Mercedes-Benz,29,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,29,617,2000
176,Mercedes-Benz,29,regular,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,17,617,2377
177,Mercedes-Benz,29,regular,228.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,21,617,3814
178,Mercedes-Benz,29,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,19,617,2207
179,Mercedes-Benz,29,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,wagon,20,617,2000
180,Mercedes-Benz,29,regular,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,coupe,21,617,2248
181,Mercedes-Benz,29,regular,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,22,617,2065
182,Mercedes-Benz,29,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,22,617,2547
183,Mercedes-Benz,29,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,18,617,2282
184,Mercedes-Benz,29,regular,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,23,617,2000
185,Mercedes-Benz,28,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,19,617,2544
186,Mercedes-Benz,28,regular,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,coupe,22,617,2397
187,Mercedes-Benz,28,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,30,617,2000
188,Mercedes-Benz,28,regular,228.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,21,617,4174
189,Mercedes-Benz,28,regular,217.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,22,617,2187
190,Mercedes-Benz,28,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,22,617,2729
191,Mercedes-Benz,28,regular,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,sedan,19,617,2433
192,Mercedes-Benz,28,regular,194.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,sedan,23,617,2247
193,Mercedes-Benz,28,regular,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,sedan,18,617,2540
194,Mitsubishi,24,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,23,436,3941
195,Mitsubishi,24,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,22,436,3295
196,Mitsubishi,24,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Other,Compact,hatchback,22,436,6008
197,Mitsubishi,23,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Other,Compact,hatchback,22,436,6710
198,Mitsubishi,23,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,22,436,3701
199,Mitsubishi,23,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,23,436,4671
200,Mitsubishi,22,regular,218.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,23,436,5306
201,Mitsubishi,22,regular,320.0,6.0,MANUAL,all wheel drive,2.0,Other,Compact,hatchback,22,436,7600
202,Mitsubishi,22,regular,161.0,6.0,MANUAL,front wheel drive,2.0,Other,Compact,hatchback,22,436,4090
203,Chrysler,6,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,37570
204,Chrysler,6,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Unknown,Large,sedan,31,1013,31695
205,Chrysler,6,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Unknown,Large,sedan,31,1013,38070
206,Chrysler,6,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,44895
207,Chrysler,6,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Other,Large,sedan,31,1013,35070
208,Chrysler,6,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Other,Large,sedan,31,1013,42395
209,Chrysler,6,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,34195
210,Chrysler,6,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,40570
211,Chrysler,5,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,38095
212,Chrysler,5,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Other,Large,sedan,31,1013,35595
213,Chrysler,5,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,45190
214,Chrysler,5,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Unknown,Large,sedan,31,1013,32260
215,Chrysler,5,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,37755
216,Chrysler,5,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,41055
217,Chrysler,5,regular,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Other,Large,sedan,31,1013,36090
218,Chrysler,5,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Other,Large,sedan,31,1013,42690
219,Chrysler,5,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Unknown,Large,sedan,31,1013,38555
220,Chrysler,5,regular,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Unknown,Large,sedan,31,1013,35255
221,Chrysler,5,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,38590
222,Chrysler,5,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,34760
223,Chrysler,4,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,41135
224,Chrysler,4,regular,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,45270
225,Chrysler,4,regular,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Unknown,Large,sedan,27,1013,38670
